entity_id;entity_name;sector;country;value
006XCR-E;New Focus Auto Tech Holdings Limited;Automotive;Hong Kong;
0CL9YG-E;Xiezhong International Holdings Ltd;Automotive;China;
05JGCQ-E;KODAMA CHEMICAL INDUSTRY CO LTD;Automotive;Japan;
076G4H-E;DaikyoNishikawa Corp;Automotive;Japan;
007SBG-E;Minth Group Limited;Automotive;China;
05JCQ2-E;Jian Sin Industrial Co Ltd;Automotive;Taiwan;
062975-E;Taiwan Calsonic Co Ltd;Automotive;Taiwan;
0657D6-E;Chian Hsing Forging Industrial Co Ltd;Automotive;Taiwan;
05RGX5-E;Fine Blanking & Tool Co Ltd;Automotive;Taiwan;
0FT1TJ-E;Yusin Holding Corp;Automotive;Taiwan;
0GB6VB-E;Jason Co Ltd (Taiwan);Automotive;Taiwan;
05J5KC-E;Nihon Tokushu Toryo Co Ltd;Automotive;Japan;
0B2HMD-E;China Automotive Interior Decoration Holdings Limited;Automotive;Hong Kong;
06XCC5-E;Balkancar ZARYA plc;Automotive;Bulgaria;
05JV5X-E;Autolite (India) Limited;Automotive;India;
05J9DL-E;Exide Industries Limited;Automotive;India;
06ZKTC-E;Harig Crankshafts Ltd;Automotive;India;
05JQ5G-E;Kinetic Engineering Ltd;Automotive;India;
05X7DC-E;LG Balakrishnan & Bros Ltd;Automotive;India;
05JQHD-E;Majestic Auto Limited;Automotive;India;
06S1F6-E;PIX Transmissions Ltd;Automotive;India;
05JGT8-E;UCAL Fuel Systems Limited;Automotive;India;
05J1S3-E;Bosch Limited;Automotive;India;
05J1YD-E;APM Automotive Holdings Bhd;Automotive;Malaysia;
0641QX-E;Balkrishna Industries Limited;Automotive;India;
05JCJV-E;Automotive Axles Limited;Automotive;India;
069RS3-E;Clutch Auto Limited;Automotive;India;
06MRRW-E;Setco Automotive Limited;Automotive;India;
069C5D-E;Talbros Automotive Components Limited;Automotive;India;
064Q4Q-E;Z F Steering Gear (India) Limited;Automotive;India;
008HSH-E;Bimetal Bearings Limited;Automotive;India;
00678Y-E;Bharat Gears Limited;Automotive;India;
0959ZG-E;Gajra Bevel Gears Ltd;Automotive;India;
0JLFR3-E;Him Teknoforge Ltd;Automotive;India;
05T1B7-E;Gabriel India Limited;Automotive;India;
006VVR-E;Rane Holdings Limited;Automotive;India;
09H8ZZ-E;REIL Electricals India Limited;Automotive;India;
05WFPL-E;SNL Bearings Limited;Automotive;India;
07CKSK-E;Hindustan Hardy Limited;Automotive;India;
05T3L6-E;Amforge Industries Limited;Automotive;India;
07CV4K-E;Jay Ushin Limited;Automotive;India;
06FVXG-E;Steel Strips Wheels Ltd;Automotive;India;
05JT3M-E;Metalyst Forgings Ltd;Automotive;India;
009W85-E;Kalyani Forge Limited;Automotive;India;
07D2TP-E;Spectra Industries Limited;Automotive;India;
064PRG-E;JMT Auto Limited;Automotive;India;
060RFL-E;Saint-Gobain Sekurit India Ltd;Automotive;India;
05J3R0-E;Nishikawa Rubber Co Ltd;Automotive;Japan;
05JQRR-E;Subros Limited;Automotive;India;
05JQ76-E;Lumax Industries Limited;Automotive;India;
061YPG-E;Autopal Industries Ltd;Automotive;India;
05JC6F-E;Motherson Sumi Systems Limited;Automotive;India;
05VMCT-E;Igarashi Motors India Limited;Automotive;India;
05J1PG-E;Mitsuboshi Belting Ltd;Automotive;Japan;
05JD43-E;Rico Auto Industries Limited;Automotive;India;
05JFZ6-E;Omax Autos Limited;Automotive;India;
05JBXG-E;Munjal Showa Limited;Automotive;India;
06WBG4-E;Jamna Auto Industries Limited;Automotive;India;
05J5V1-E;Sundaram-Clayton Ltd;Automotive;India;
006MKW-E;Munjal Auto Industries Limited;Automotive;India;
05JSG4-E;Jay Bharat Maruti Limited;Automotive;India;
07D526-E;RACL Geartech Ltd;Automotive;India;
064Q2Y-E;Samkrg Pistons & Rings Ltd;Automotive;India;
05MVMW-E;Amtek Auto Limited;Automotive;India;
061YPD-E;Automotive Stampings & Assemblies Ltd;Automotive;India;
05Z97C-E;Shanthi Gears Limited;Automotive;India;
05KMTW-E;Hi-Tech Gears Limited;Automotive;India;
006VXP-E;Rasandik Engineering Industries India Limited;Automotive;India;
060P5Z-E;Bharat Seats Limited;Automotive;India;
05K03L-E;Machino Plastics Limited;Automotive;India;
05JQ5X-E;IP Rings Limited;Automotive;India;
07CX0P-E;Menon Bearings Limited;Automotive;India;
